# tb_imm_gen vectors -- generated by tools/gen_imm_vectors.py (seed 20260906)
# idx  inst      sel  expected  source
  489  e239ae23  1    fffffe3c  sw x3, -452(x19)
  490  e2701ea3  1    fffffe3d  sh x7, -451(x0)
  491  e5158523  1    fffffe4a  sb x17, -438(x11)
  492  e5dfaf23  1    fffffe5e  sw x29, -418(x31)
  493  e6ca9aa3  1    fffffe75  sh x12, -395(x21)
  494  e9bf81a3  1    fffffe83  sb x27, -381(x31)
  495  e81e27a3  1    fffffe8f  sw x1, -369(x28)
  496  e8579823  1    fffffe90  sh x5, -368(x15)
  497  e9908e23  1    fffffe9c  sb x25, -356(x1)
  498  e99faf23  1    fffffe9e  sw x25, -354(x31)
  499  eb4e1f23  1    fffffebe  sh x20, -322(x28)
  500  ec0d00a3  1    fffffec1  sb x0, -319(x26)
  501  ecc22323  1    fffffec6  sw x12, -314(x4)
  502  ee4d9fa3  1    fffffeff  sh x4, -257(x27)
  503  f17e8023  1    ffffff00  sb x23, -256(x29)
  504  f16020a3  1    ffffff01  sw x22, -255(x0)
  505  f2689423  1    ffffff28  sh x6, -216(x17)
  506  f4680623  1    ffffff4c  sb x6, -180(x16)
  507  f49929a3  1    ffffff53  sw x9, -173(x18)
  508  f5121aa3  1    ffffff55  sh x17, -171(x4)
  509  f4bb8c23  1    ffffff58  sb x11, -168(x23)
  510  f7442623  1    ffffff6c  sw x20, -148(x8)
  511  f7769fa3  1    ffffff7f  sh x23, -129(x13)
  512  f91a0023  1    ffffff80  sb x17, -128(x20)
  513  f8d8a0a3  1    ffffff81  sw x13, -127(x17)
  514  f9269ca3  1    ffffff99  sh x18, -103(x13)
  515  f9698e23  1    ffffff9c  sb x22, -100(x19)
  516  fb12afa3  1    ffffffbf  sw x17, -65(x5)
  517  fce41023  1    ffffffc0  sh x14, -64(x8)
  518  fdc100a3  1    ffffffc1  sb x28, -63(x2)
  519  fd0029a3  1    ffffffd3  sw x16, -45(x0)
  520  fd621da3  1    ffffffdb  sh x22, -37(x4)
  521  fc180fa3  1    ffffffdf  sb x1, -33(x16)
  522  ff902023  1    ffffffe0  sw x25, -32(x0)
  523  ff2610a3  1    ffffffe1  sh x18, -31(x12)
  524  ff3107a3  1    ffffffef  sb x19, -17(x2)
  525  fe0f2823  1    fffffff0  sw x0, -16(x30)
  526  ff3198a3  1    fffffff1  sh x19, -15(x3)
  527  ff928ba3  1    fffffff7  sb x25, -9(x5)
  528  fe912c23  1    fffffff8  sw x9, -8(x2)
  529  ff419ca3  1    fffffff9  sh x20, -7(x3)
  530  fe728da3  1    fffffffb  sb x7, -5(x5)
  531  fe642e23  1    fffffffc  sw x6, -4(x8)
  532  fe079ea3  1    fffffffd  sh x0, -3(x15)
  533  ff048f23  1    fffffffe  sb x16, -2(x9)
  534  ff8dafa3  1    ffffffff  sw x24, -1(x27)
  535  01001023  1    00000000  sh x16, 0(x0)
  536  013e80a3  1    00000001  sb x19, 1(x29)
  537  00552123  1    00000002  sw x5, 2(x10)
  538  00fc91a3  1    00000003  sh x15, 3(x25)
  539  00120223  1    00000004  sb x1, 4(x4)
  540  014722a3  1    00000005  sw x20, 5(x14)
  541  003193a3  1    00000007  sh x3, 7(x3)
  542  01780423  1    00000008  sb x23, 8(x16)
  543  0099a4a3  1    00000009  sw x9, 9(x19)
  544  00f717a3  1    0000000f  sh x15, 15(x14)
  545  011e0823  1    00000010  sb x17, 16(x28)
  546  01e9a8a3  1    00000011  sw x30, 17(x19)
  547  01599a23  1    00000014  sh x21, 20(x19)
  548  00748fa3  1    0000001f  sb x7, 31(x9)
  549  03cea023  1    00000020  sw x28, 32(x29)
  550  032090a3  1    00000021  sh x18, 33(x1)
  551  029d0b23  1    00000036  sb x9, 54(x26)
  552  038cafa3  1    0000003f  sw x24, 63(x25)
  553  050e1023  1    00000040  sh x16, 64(x28)
  554  04ac00a3  1    00000041  sb x10, 65(x24)
  555  041a2323  1    00000046  sw x1, 70(x20)
  556  060a1123  1    00000062  sh x0, 98(x20)
  557  069a0e23  1    0000007c  sb x9, 124(x20)
  558  07ddafa3  1    0000007f  sw x29, 127(x27)
  559  094b1023  1    00000080  sh x20, 128(x22)
  560  09d900a3  1    00000081  sb x29, 129(x18)
  561  088622a3  1    00000085  sw x8, 133(x12)
  562  08fc9823  1    00000090  sh x15, 144(x25)
  563  08dd8fa3  1    0000009f  sb x13, 159(x27)
  564  0bfb23a3  1    000000a7  sw x31, 167(x22)
  565  0d179223  1    000000c4  sh x17, 196(x15)
  566  0ca58323  1    000000c6  sb x10, 198(x11)
  567  0fe2a2a3  1    000000e5  sw x30, 229(x5)
  568  0fd09fa3  1    000000ff  sh x29, 255(x1)
  569  114b0023  1    00000100  sb x20, 256(x22)
  570  109f20a3  1    00000101  sw x9, 257(x30)
  571  13821023  1    00000120  sh x24, 288(x4)
  572  13610623  1    0000012c  sb x22, 300(x2)
  573  126f2b23  1    00000136  sw x6, 310(x30)
  574  12601ba3  1    00000137  sh x6, 311(x0)
  575  14c687a3  1    0000014f  sb x12, 335(x13)
  576  150c2923  1    00000152  sw x16, 338(x24)
  577  174912a3  1    00000165  sh x20, 357(x18)
  578  18d180a3  1    00000181  sb x13, 385(x3)
  579  190921a3  1    00000183  sw x16, 387(x18)
  580  18a29923  1    00000192  sh x10, 402(x5)
  581  1bd98723  1    000001ae  sb x29, 430(x19)
  582  1a7daa23  1    000001b4  sw x7, 436(x27)
  583  1c8911a3  1    000001c3  sh x8, 451(x18)
  584  1d2e8da3  1    000001db  sb x18, 475(x29)
  585  1c7caf23  1    000001de  sw x7, 478(x25)
  586  1ce31fa3  1    000001df  sh x14, 479(x6)
  587  1e490fa3  1    000001ff  sb x4, 511(x18)
  588  20b82023  1    00000200  sw x11, 512(x16)
  589  212510a3  1    00000201  sh x18, 513(x10)
  590  20298223  1    00000204  sb x2, 516(x19)
  591  21ca2ba3  1    00000217  sw x28, 535(x20)
  592  22b215a3  1    0000022b  sh x11, 555(x4)
  593  25ff07a3  1    0000024f  sb x31, 591(x30)
  594  24ae2da3  1    0000025b  sw x10, 603(x28)
  595  267790a3  1    00000261  sh x7, 609(x15)
  596  274f0923  1    00000272  sb x20, 626(x30)
  597  285420a3  1    00000281  sw x5, 641(x8)
  598  290591a3  1    00000283  sh x16, 643(x11)
  599  2b9007a3  1    000002af  sb x25, 687(x0)
  600  2a38aca3  1    000002b9  sw x3, 697(x17)
  601  2ac21da3  1    000002bb  sh x12, 699(x4)
  602  2e1e01a3  1    000002e3  sb x1, 739(x28)
  603  2e5c2aa3  1    000002f5  sw x5, 757(x24)
  604  2f749b23  1    000002f6  sh x23, 758(x9)
  605  311e8a23  1    00000314  sb x17, 788(x29)
  606  3008ada3  1    0000031b  sw x0, 795(x17)
  607  32f49923  1    00000332  sh x15, 818(x9)
  608  35df06a3  1    0000034d  sb x29, 845(x30)
  609  373aae23  1    0000037c  sw x19, 892(x21)
  610  37c21ea3  1    0000037d  sh x28, 893(x4)
  611  38080323  1    00000386  sb x0, 902(x16)
  612  39852423  1    00000388  sw x24, 904(x10)
  613  3b3a90a3  1    000003a1  sh x19, 929(x21)
  614  3d6e8da3  1    000003db  sb x22, 987(x29)
  615  3d9cae23  1    000003dc  sw x25, 988(x25)
  616  3fd01fa3  1    000003ff  sh x29, 1023(x0)
  617  41210023  1    00000400  sb x18, 1024(x2)
  618  416f20a3  1    00000401  sw x22, 1025(x30)
  619  43bb92a3  1    00000425  sh x27, 1061(x23)
  620  45938da3  1    0000045b  sb x25, 1115(x7)
  621  4686ada3  1    0000047b  sw x8, 1147(x13)
  622  49009523  1    0000048a  sh x16, 1162(x1)
  623  495f86a3  1    0000048d  sb x21, 1165(x31)
  624  495b2823  1    00000490  sw x21, 1168(x22)
  625  494899a3  1    00000493  sh x20, 1171(x17)
  626  48a10fa3  1    0000049f  sb x10, 1183(x2)
  627  4cf6a9a3  1    000004d3  sw x15, 1235(x13)
  628  4de21ea3  1    000004dd  sh x30, 1245(x4)
  629  4fe486a3  1    000004ed  sb x30, 1261(x9)
  630  4eb1a723  1    000004ee  sw x11, 1262(x3)
  631  4efe9aa3  1    000004f5  sh x15, 1269(x29)
  632  4e360e23  1    000004fc  sb x3, 1276(x12)
  633  5115aa23  1    00000514  sw x17, 1300(x11)
  634  536198a3  1    00000531  sh x22, 1329(x3)
  635  52468a23  1    00000534  sb x4, 1332(x13)
  636  557c2323  1    00000546  sw x23, 1350(x24)
  637  57e81823  1    00000570  sh x30, 1392(x16)
  638  56830b23  1    00000576  sb x8, 1398(x6)
  639  56162ba3  1    00000577  sw x1, 1399(x12)
  640  57a69fa3  1    0000057f  sh x26, 1407(x13)
  641  581000a3  1    00000581  sb x1, 1409(x0)
  642  599225a3  1    0000058b  sw x25, 1419(x4)
  643  59821a23  1    00000594  sh x24, 1428(x4)
  644  5a7d8223  1    000005a4  sb x7, 1444(x27)
  645  5b512823  1    000005b0  sw x21, 1456(x2)
  646  5bc01da3  1    000005bb  sh x28, 1467(x0)
  647  5a8d0ea3  1    000005bd  sb x8, 1469(x26)
  648  5cf42f23  1    000005de  sw x15, 1502(x8)
  649  60d79023  1    00000600  sh x13, 1536(x15)
  650  610983a3  1    00000607  sb x16, 1543(x19)
  651  603ca7a3  1    0000060f  sw x3, 1551(x25)
  652  60351da3  1    0000061b  sh x3, 1563(x10)
  653  62930623  1    0000062c  sb x9, 1580(x6)
  654  6465a123  1    00000642  sw x6, 1602(x11)
  655  647f92a3  1    00000645  sh x7, 1605(x31)
  656  65d80d23  1    0000065a  sb x29, 1626(x16)
  657  6733a3a3  1    00000667  sw x19, 1639(x7)
  658  673f9523  1    0000066a  sh x19, 1642(x31)
  659  662e8aa3  1    00000675  sb x2, 1653(x29)
  660  681ca6a3  1    0000068d  sw x1, 1677(x25)
  661  68ae1aa3  1    00000695  sh x10, 1685(x28)
  662  6a018023  1    000006a0  sb x0, 1696(x3)
  663  6a81a823  1    000006b0  sw x8, 1712(x3)
  664  6b659aa3  1    000006b5  sh x22, 1717(x11)
  665  6caa0223  1    000006c4  sb x10, 1732(x20)
  666  6c3e2f23  1    000006de  sw x3, 1758(x28)
  667  6e2f9a23  1    000006f4  sh x2, 1780(x31)
  668  71ae8123  1    00000702  sb x26, 1794(x29)
  669  716ca4a3  1    00000709  sw x22, 1801(x25)
  670  72a89c23  1    00000738  sh x10, 1848(x17)
  671  744a8b23  1    00000756  sb x4, 1878(x21)
  672  7873a723  1    0000078e  sw x7, 1934(x7)
  673  7b0919a3  1    000007b3  sh x16, 1971(x18)
  674  7b1a0fa3  1    000007bf  sb x17, 1983(x20)
  675  7c0f2aa3  1    000007d5  sw x0, 2005(x30)
  676  7f3a9423  1    000007e8  sh x19, 2024(x21)
  677  7f1e88a3  1    000007f1  sb x17, 2033(x29)
  678  7fe9af23  1    000007fe  sw x30, 2046(x19)
  679  7e341fa3  1    000007ff  sh x3, 2047(x8)
  680  81278063  2    fffff000  beq x15, x18, -4096
  681  805b9163  2    fffff002  bne x23, x5, -4094
  682  82a3c363  2    fffff026  blt x7, x10, -4058
  683  83e75963  2    fffff032  bge x14, x30, -4046
  684  854f6663  2    fffff04c  bltu x30, x20, -4020
  685  877cff63  2    fffff07e  bgeu x25, x23, -3970
  686  8b9c8863  2    fffff0b0  beq x25, x25, -3920
  687  8c431063  2    fffff0c0  bne x6, x4, -3904
  688  8c194d63  2    fffff0da  blt x18, x1, -3878
  689  8fc7da63  2    fffff0f4  bge x15, x28, -3852
  690  8f51ec63  2    fffff0f8  bltu x3, x21, -3848
  691  93ddf463  2    fffff128  bgeu x27, x29, -3800
  692  97a30f63  2    fffff17e  beq x6, x26, -3714
  693  98169663  2    fffff18c  bne x13, x1, -3700
  694  9911c863  2    fffff190  blt x3, x17, -3696
  695  9b33d763  2    fffff1ae  bge x7, x19, -3666
  696  9b6bef63  2    fffff1be  bltu x23, x22, -3650
  697  9c697563  2    fffff1ca  bgeu x18, x6, -3638
  698  9f078163  2    fffff1e2  beq x15, x16, -3614
  699  9e081563  2    fffff1ea  bne x16, x0, -3606
  700  9f99c863  2    fffff1f0  blt x19, x25, -3600
  701  a0fad863  2    fffff210  bge x21, x15, -3568
  702  a11bed63  2    fffff21a  bltu x23, x17, -3558
  703  a7fffb63  2    fffff276  bgeu x31, x31, -3466
  704  b1400263  2    fffff304  beq x0, x20, -3324
  705  b0731b63  2    fffff316  bne x6, x7, -3306
  706  b221cd63  2    fffff33a  blt x3, x2, -3270
  707  b4f65063  2    fffff340  bge x12, x15, -3264
  708  b4456963  2    fffff352  bltu x10, x4, -3246
  709  b9f6fb63  2    fffff396  bgeu x13, x31, -3178
  710  bbd58963  2    fffff3b2  beq x11, x29, -3150
  711  bdb71063  2    fffff3c0  bne x14, x27, -3136
  712  bff44463  2    fffff3e8  blt x8, x31, -3096
  713  c464d163  2    fffff442  bge x9, x6, -3006
  714  c4b86463  2    fffff448  bltu x16, x11, -3000
  715  c9747a63  2    fffff494  bgeu x8, x23, -2924
  716  cb810063  2    fffff4a0  beq x2, x24, -2912
  717  cbf79663  2    fffff4ac  bne x15, x31, -2900
  718  cda8c363  2    fffff4c6  blt x17, x26, -2874
  719  ccbf5763  2    fffff4ce  bge x30, x11, -2866
  720  cffc6363  2    fffff4e6  bltu x24, x31, -2842
  721  cfe3f863  2    fffff4f0  bgeu x7, x30, -2832
  722  d3ba0663  2    fffff52c  beq x20, x27, -2772
  723  d8ae9563  2    fffff58a  bne x29, x10, -2678
  724  db7f4763  2    fffff5ae  blt x30, x23, -2642
  725  df63d863  2    fffff5f0  bge x7, x22, -2576
  726  e4276263  2    fffff644  bltu x14, x2, -2492
  727  e65ef563  2    fffff66a  bgeu x29, x5, -2454
  728  e90a0d63  2    fffff69a  beq x20, x16, -2406
  729  e99b1e63  2    fffff69c  bne x22, x25, -2404
  730  eae74863  2    fffff6b0  blt x14, x14, -2384
  731  efe2d463  2    fffff6e8  bge x5, x30, -2328
  732  f10be763  2    fffff70e  bltu x23, x16, -2290
  733  f2caf363  2    fffff726  bgeu x21, x12, -2266
  734  f25a0f63  2    fffff73e  beq x20, x5, -2242
  735  f6989463  2    fffff768  bne x17, x9, -2200
  736  f70cc863  2    fffff770  blt x25, x16, -2192
  737  f6bcdd63  2    fffff77a  bge x25, x11, -2182
  738  f901e463  2    fffff788  bltu x3, x16, -2168
  739  fc417063  2    fffff7c0  bgeu x2, x4, -2112
  740  ff8a8e63  2    fffff7fc  beq x21, x24, -2052
  741  fea51f63  2    fffff7fe  bne x10, x10, -2050
  742  812240e3  2    fffff800  blt x4, x18, -2048
  743  81a951e3  2    fffff802  bge x18, x26, -2046
  744  806f6ee3  2    fffff81c  bltu x30, x6, -2020
  745  83dcffe3  2    fffff83e  bgeu x25, x29, -1986
  746  85ab0ce3  2    fffff858  beq x22, x26, -1960
  747  897a91e3  2    fffff882  bne x21, x23, -1918
  748  8d8bc2e3  2    fffff8c4  blt x23, x24, -1852
  749  8cfddee3  2    fffff8dc  bge x27, x15, -1828
  750  8f50eae3  2    fffff8f4  bltu x1, x21, -1804
  751  9338f3e3  2    fffff926  bgeu x17, x19, -1754
  752  92f785e3  2    fffff92a  beq x15, x15, -1750
  753  993c94e3  2    fffff988  bne x25, x19, -1656
  754  9bafcce3  2    fffff9b8  blt x31, x26, -1608
  755  a38fdbe3  2    fffffa36  bge x31, x24, -1482
  756  a65966e3  2    fffffa6c  bltu x18, x5, -1428
  757  a82cf5e3  2    fffffa8a  bgeu x25, x2, -1398
  758  abed86e3  2    fffffaac  beq x27, x30, -1364
  759  abdd9ee3  2    fffffabc  bne x27, x29, -1348
  760  afe246e3  2    fffffaec  blt x4, x30, -1300
  761  b1b5dbe3  2    fffffb16  bge x11, x27, -1258
  762  b0036de3  2    fffffb1a  bltu x6, x0, -1254
  763  b32878e3  2    fffffb30  bgeu x16, x18, -1232
  764  b2590ee3  2    fffffb3c  beq x18, x5, -1220
  765  b4b012e3  2    fffffb44  bne x0, x11, -1212
  766  b7f0c7e3  2    fffffb6e  blt x1, x31, -1170
  767  b77adae3  2    fffffb74  bge x21, x23, -1164
  768  ba04e6e3  2    fffffbac  bltu x9, x0, -1108
  769  bbe9fde3  2    fffffbba  bgeu x19, x30, -1094
  770  be5f87e3  2    fffffbee  beq x31, x5, -1042
  771  beae1fe3  2    fffffbfe  bne x28, x10, -1026
  772  c0ddc0e3  2    fffffc00  blt x27, x13, -1024
  773  c1c2d1e3  2    fffffc02  bge x5, x28, -1022
  774  c22060e3  2    fffffc20  bltu x0, x2, -992
  775  c254f5e3  2    fffffc2a  bgeu x9, x5, -982
  776  c24e07e3  2    fffffc2e  beq x28, x4, -978
  777  c5fe1ce3  2    fffffc58  bne x28, x31, -936
  778  c6de45e3  2    fffffc6a  blt x28, x13, -918
  779  c6e35ce3  2    fffffc78  bge x6, x14, -904
  780  cb6d64e3  2    fffffca8  bltu x26, x22, -856
  781  cb18f7e3  2    fffffcae  bgeu x17, x17, -850
  782  caa50de3  2    fffffcba  beq x10, x10, -838
  783  cb7d9fe3  2    fffffcbe  bne x27, x23, -834
  784  d179cfe3  2    fffffd1e  blt x19, x23, -738
  785  d25b53e3  2    fffffd26  bge x22, x5, -730
  786  d2e96fe3  2    fffffd3e  bltu x18, x14, -706
  787  d57e77e3  2    fffffd4e  bgeu x28, x23, -690
  788  d4560ce3  2    fffffd58  beq x12, x5, -680
  789  dafc1be3  2    fffffdb6  bne x24, x15, -586
  790  ddf6c5e3  2    fffffdca  blt x13, x31, -566
  791  dfb651e3  2    fffffde2  bge x12, x27, -542
  792  df3b6be3  2    fffffdf6  bltu x22, x19, -522
  793  df6cfde3  2    fffffdfa  bgeu x25, x22, -518
  794  deb40fe3  2    fffffdfe  beq x8, x11, -514
  795  e1a310e3  2    fffffe00  bne x6, x26, -512
  796  e0f241e3  2    fffffe02  blt x4, x15, -510
  797  e0b4d2e3  2    fffffe04  bge x9, x11, -508
  798  e1dc6ae3  2    fffffe14  bltu x24, x29, -492
  799  e90c76e3  2    fffffe8c  bgeu x24, x16, -372
  800  e9918ce3  2    fffffe98  beq x3, x25, -360
  801  ebbd94e3  2    fffffea8  bne x27, x27, -344
  802  ec70c1e3  2    fffffec2  blt x1, x7, -318
  803  ed7bd2e3  2    fffffec4  bge x23, x23, -316
  804  ef796fe3  2    fffffefe  bltu x18, x23, -258
  805  f08070e3  2    ffffff00  bgeu x0, x8, -256
  806  f1d481e3  2    ffffff02  beq x9, x29, -254
  807  f12b9ae3  2    ffffff14  bne x23, x18, -236
  808  f3dd40e3  2    ffffff20  blt x26, x29, -224
  809  f56e51e3  2    ffffff42  bge x28, x22, -190
  810  f53ae2e3  2    ffffff44  bltu x21, x19, -188
  811  f5c7f9e3  2    ffffff52  bgeu x15, x28, -174
  812  f6c80fe3  2    ffffff7e  beq x16, x12, -130
  813  f85f90e3  2    ffffff80  bne x31, x5, -128
  814  f8c9c1e3  2    ffffff82  blt x19, x12, -126
  815  f94ad4e3  2    ffffff88  bge x21, x20, -120
  816  f82567e3  2    ffffff8e  bltu x10, x2, -114
  817  fb7cffe3  2    ffffffbe  bgeu x25, x23, -66
  818  fc2480e3  2    ffffffc0  beq x9, x2, -64
  819  fd1c91e3  2    ffffffc2  bne x25, x17, -62
  820  fce2cfe3  2    ffffffde  blt x5, x14, -34
  821  fe18d0e3  2    ffffffe0  bge x17, x1, -32
  822  fe97e1e3  2    ffffffe2  bltu x15, x9, -30
  823  fe74f4e3  2    ffffffe8  bgeu x9, x7, -24
  824  ffc087e3  2    ffffffee  beq x1, x28, -18
  825  ff5598e3  2    fffffff0  bne x11, x21, -16
  826  fe8f49e3  2    fffffff2  blt x30, x8, -14
  827  ffa25be3  2    fffffff6  bge x4, x26, -10
  828  ffac6ce3  2    fffffff8  bltu x24, x26, -8
  829  fe887de3  2    fffffffa  bgeu x16, x8, -6
  830  fe628ee3  2    fffffffc  beq x5, x6, -4
  831  ff681fe3  2    fffffffe  bne x16, x22, -2
  832  0116c063  2    00000000  blt x13, x17, 0
  833  0098d163  2    00000002  bge x17, x9, 2
  834  003d6263  2    00000004  bltu x26, x3, 4
  835  0182f363  2    00000006  bgeu x5, x24, 6
  836  014a8463  2    00000008  beq x21, x20, 8
  837  01ca1563  2    0000000a  bne x20, x28, 10
  838  01e54763  2    0000000e  blt x10, x30, 14
  839  0147d863  2    00000010  bge x15, x20, 16
  840  01ebe963  2    00000012  bltu x23, x30, 18
  841  00817f63  2    0000001e  bgeu x2, x8, 30
  842  03af0063  2    00000020  beq x30, x26, 32
  843  020f1163  2    00000022  bne x30, x0, 34
  844  02064863  2    00000030  blt x12, x0, 48
  845  03075f63  2    0000003e  bge x14, x16, 62
  846  05bf6063  2    00000040  bltu x30, x27, 64
  847  04957163  2    00000042  bgeu x10, x9, 66
  848  04500a63  2    00000054  beq x0, x5, 84
  849  061e9063  2    00000060  bne x29, x1, 96
  850  07a94363  2    00000066  blt x18, x26, 102
  851  0677df63  2    0000007e  bge x15, x7, 126
  852  080be063  2    00000080  bltu x23, x0, 128
  853  095f7163  2    00000082  bgeu x30, x21, 130
  854  0a950a63  2    000000b4  beq x10, x9, 180
  855  0ff89663  2    000000ec  bne x17, x31, 236
  856  0fe2cf63  2    000000fe  blt x5, x30, 254
  857  10845063  2    00000100  bge x8, x8, 256
  858  115ee163  2    00000102  bltu x29, x21, 258
  859  114aff63  2    0000011e  bgeu x21, x20, 286
  860  12478a63  2    00000134  beq x15, x4, 308
  861  165a9763  2    0000016e  bne x21, x5, 366
  862  1774cc63  2    00000178  blt x9, x23, 376
  863  1813db63  2    00000196  bge x7, x1, 406
  864  1b30ee63  2    000001bc  bltu x1, x19, 444
  865  1ecffa63  2    000001f4  bgeu x31, x12, 500
  866  1efb8e63  2    000001fc  beq x23, x15, 508
  867  1fb99f63  2    000001fe  bne x19, x27, 510
  868  21c2c063  2    00000200  blt x5, x28, 512
  869  2000d163  2    00000202  bge x1, x0, 514
  870  209be663  2    0000020c  bltu x23, x9, 524
  871  2499f463  2    00000248  bgeu x19, x9, 584
  872  24b08563  2    0000024a  beq x1, x11, 586
  873  251e9e63  2    0000025c  bne x29, x17, 604
  874  27df4163  2    00000262  blt x30, x29, 610
  875  2a905563  2    000002aa  bge x0, x9, 682
  876  2b596c63  2    000002b8  bltu x18, x21, 696
  877  2f537563  2    000002ea  bgeu x6, x21, 746
  878  31348663  2    0000030c  beq x9, x19, 780
  879  359a1c63  2    00000358  bne x20, x25, 856
  880  36184863  2    00000370  blt x16, x1, 880
  881  3f665c63  2    000003f8  bge x12, x22, 1016
  882  3ec2ef63  2    000003fe  bltu x5, x12, 1022
  883  410ff063  2    00000400  bgeu x31, x16, 1024
  884  409e8163  2    00000402  beq x29, x9, 1026
  885  4ac51563  2    000004aa  bne x10, x12, 1194
  886  4beec663  2    000004ac  blt x29, x30, 1196
  887  4a7bdb63  2    000004b6  bge x23, x7, 1206
  888  4b3b6d63  2    000004ba  bltu x22, x19, 1210
  889  4c197763  2    000004ce  bgeu x18, x1, 1230
  890  4fdc8163  2    000004e2  beq x25, x29, 1250
  891  4e011f63  2    000004fe  bne x2, x0, 1278
  892  519f4063  2    00000500  blt x30, x25, 1280
  893  502d5a63  2    00000514  bge x26, x2, 1300
  894  5262e763  2    0000052e  bltu x5, x6, 1326
  895  54a07c63  2    00000558  bgeu x0, x10, 1368
  896  57d90263  2    00000564  beq x18, x29, 1380
  897  58bb1963  2    00000592  bne x22, x11, 1426
  898  5a27c663  2    000005ac  blt x15, x2, 1452
  899  5fae5963  2    000005f2  bge x28, x26, 1522
  900  5e4def63  2    000005fe  bltu x27, x4, 1534
  901  6108f563  2    0000060a  bgeu x17, x16, 1546
  902  61ab0963  2    00000612  beq x22, x26, 1554
  903  638a9763  2    0000062e  bne x21, x24, 1582
  904  64dc4c63  2    00000658  blt x24, x13, 1624
  905  66215563  2    0000066a  bge x2, x2, 1642
  906  66ffea63  2    00000674  bltu x31, x15, 1652
  907  69abf663  2    0000068c  bgeu x23, x26, 1676
  908  6a790863  2    000006b0  beq x18, x7, 1712
  909  6dd39863  2    000006d0  bne x7, x29, 1744
  910  73ad4a63  2    00000734  blt x26, x26, 1844
  911  72065f63  2    0000073e  bge x12, x0, 1854
  912  7480e763  2    0000074e  bltu x1, x8, 1870
  913  75d17c63  2    00000758  bgeu x2, x29, 1880
  914  76b20863  2    00000770  beq x4, x11, 1904
  915  78219a63  2    00000794  bne x3, x2, 1940
  916  7bc44f63  2    000007be  blt x8, x28, 1982
  917  7c44d063  2    000007c0  bge x9, x4, 1984
  918  7c18ef63  2    000007de  bltu x17, x1, 2014
  919  7f837d63  2    000007fa  bgeu x6, x24, 2042
  920  7fc20e63  2    000007fc  beq x4, x28, 2044
  921  7fa31f63  2    000007fe  bne x6, x26, 2046
  922  01ed40e3  2    00000800  blt x26, x30, 2048
  923  0010d1e3  2    00000802  bge x1, x1, 2050
  924  00d562e3  2    00000804  bltu x10, x13, 2052
  925  0361fde3  2    0000083a  bgeu x3, x22, 2106
  926  0be100e3  2    000008a0  beq x2, x30, 2208
  927  0a5618e3  2    000008b0  bne x12, x5, 2224
  928  0dba49e3  2    000008d2  blt x20, x27, 2258
  929  0d9bdee3  2    000008dc  bge x23, x25, 2268
  930  11036ae3  2    00000914  bltu x6, x16, 2324
  931  1322f5e3  2    0000092a  bgeu x5, x18, 2346
  932  140885e3  2    0000094a  beq x17, x0, 2378
  933  16a810e3  2    00000960  bne x16, x10, 2400
  934  17514ae3  2    00000974  blt x2, x21, 2420
  935  1b565ce3  2    000009b8  bge x12, x21, 2488
  936  1b696fe3  2    000009be  bltu x18, x22, 2494
  937  1daef2e3  2    000009c4  bgeu x29, x26, 2500
  938  1c8e89e3  2    000009d2  beq x29, x8, 2514
  939  21c810e3  2    00000a00  bne x16, x28, 2560
  940  20eb49e3  2    00000a12  blt x22, x14, 2578
  941  20cf5be3  2    00000a16  bge x30, x12, 2582
  942  2393ece3  2    00000a38  bltu x7, x25, 2616
  943  2252fde3  2    00000a3a  bgeu x5, x5, 2618
  944  240385e3  2    00000a4a  beq x7, x0, 2634
  945  24451ae3  2    00000a54  bne x10, x4, 2644
  946  274e4de3  2    00000a7a  blt x28, x20, 2682
  947  2e4751e3  2    00000ae2  bge x14, x4, 2786
  948  2f10e8e3  2    00000af0  bltu x1, x17, 2800
  949  2f85fae3  2    00000af4  bgeu x11, x24, 2804
  950  33e087e3  2    00000b2e  beq x1, x30, 2862
  951  34a195e3  2    00000b4a  bne x3, x10, 2890
  952  3431c7e3  2    00000b4e  blt x3, x3, 2894
  953  3850dde3  2    00000b9a  bge x1, x5, 2970
  954  3b9be7e3  2    00000bae  bltu x23, x25, 2990
  955  3a67fae3  2    00000bb4  bgeu x15, x6, 2996
  956  3a290ce3  2    00000bb8  beq x18, x2, 3000
  957  41cd1ee3  2    00000c1c  bne x26, x28, 3100
  958  479acde3  2    00000c7a  blt x21, x25, 3194
  959  49f354e3  2    00000c88  bge x6, x31, 3208
  960  4a5a6be3  2    00000cb6  bltu x20, x5, 3254
  961  4d31f2e3  2    00000cc4  bgeu x3, x19, 3268
  962  507e84e3  2    00000d08  beq x29, x7, 3336
  963  54b112e3  2    00000d44  bne x2, x11, 3396
  964  569bc5e3  2    00000d6a  blt x23, x9, 3434
  965  57f05fe3  2    00000d7e  bge x0, x31, 3454
  966  586c6ee3  2    00000d9c  bltu x24, x6, 3484
  967  5ae6f2e3  2    00000da4  bgeu x13, x14, 3492
  968  620702e3  2    00000e24  beq x14, x0, 3620
  969  65759ee3  2    00000e5c  bne x11, x23, 3676
  970  69a246e3  2    00000e8c  blt x4, x26, 3724
  971  69255ce3  2    00000e98  bge x10, x18, 3736
